key;id;label;schema_name;physical_id;glossary_id;table_name;table_id;column_name;term_id;ordinal_position;column_default;is_nullable;data_type;character_maximum_length;character_octet_length;numeric_precision;numeric_precision_radix;numeric_scale;datetime_precision;primary_key;composite_primary_key;creation_date;last_modified_date
vSalesPersonSalesByFiscalYears2002;98;Column;Sales;877;883;vSalesPersonSalesByFiscalYears;37;2002;;5;NULL;YES;money;NULL;NULL;19;10;4;NULL;False;False;23-03-20;27-04-20
vSalesPersonSalesByFiscalYears2003;99;Column;Sales;877;883;vSalesPersonSalesByFiscalYears;37;2003;;6;NULL;YES;money;NULL;NULL;19;10;4;NULL;False;False;10-04-20;03-05-20
vSalesPersonSalesByFiscalYears2004;100;Column;Sales;877;883;vSalesPersonSalesByFiscalYears;37;2004;;7;NULL;YES;money;NULL;NULL;19;10;4;NULL;False;False;04-03-20;23-04-20
VendorAccountNumber;101;Column;Purchasing;880;886;Vendor;78;AccountNumber;843;2;NULL;NO;nvarchar;15;30;NULL;NULL;NULL;NULL;False;False;03-03-20;18-05-20
CustomerAccountNumber;102;Column;Sales;877;883;Customer;90;AccountNumber;843;5;NULL;NO;varchar;10;10;NULL;NULL;NULL;NULL;False;False;03-03-20;07-05-20
SalesOrderHeaderAccountNumber;103;Column;Sales;877;883;SalesOrderHeader;96;AccountNumber;843;10;NULL;YES;nvarchar;15;30;NULL;NULL;NULL;NULL;False;False;04-03-20;05-04-20
VendorActiveFlag;104;Column;Purchasing;880;886;Vendor;78;ActiveFlag;;6;((1));NO;bit;NULL;NULL;NULL;NULL;NULL;NULL;False;False;05-03-20;01-05-20
TransactionHistoryActualCost;105;Column;Production;878;884;TransactionHistory;69;ActualCost;;8;NULL;NO;money;NULL;NULL;19;10;4;NULL;False;False;06-03-20;05-05-20
TransactionHistoryArchiveActualCost;106;Column;Production;878;884;TransactionHistoryArchive;72;ActualCost;;8;NULL;NO;money;NULL;NULL;19;10;4;NULL;False;False;04-03-20;09-04-20
WorkOrderRoutingActualCost;107;Column;Production;878;884;WorkOrderRouting;86;ActualCost;;11;NULL;YES;money;NULL;NULL;19;10;4;NULL;False;False;07-03-20;18-05-20
WorkOrderRoutingActualEndDate;108;Column;Production;878;884;WorkOrderRouting;86;ActualEndDate;;8;NULL;YES;datetime;NULL;NULL;NULL;NULL;NULL;3;False;False;07-03-20;16-05-20
WorkOrderRoutingActualResourceHrs;109;Column;Production;878;884;WorkOrderRouting;86;ActualResourceHrs;;9;NULL;YES;decimal;NULL;NULL;9;10;4;NULL;False;False;07-03-20;24-05-20
WorkOrderRoutingActualStartDate;110;Column;Production;878;884;WorkOrderRouting;86;ActualStartDate;;7;NULL;YES;datetime;NULL;NULL;NULL;NULL;NULL;3;False;False;06-03-20;27-03-20
PersonAdditionalContactInfo;111;Column;Person;879;885;Person;15;AdditionalContactInfo;;10;NULL;YES;xml;-1;-1;NULL;NULL;NULL;NULL;False;False;12-03-20;18-05-20
vEmployeeAdditionalContactInfo;112;Column;HumanResources;876;882;vEmployee;21;AdditionalContactInfo;;18;NULL;YES;xml;-1;-1;NULL;NULL;NULL;NULL;False;False;05-03-20;24-05-20
vJobCandidateAddr.Loc.City;113;Column;HumanResources;876;882;vJobCandidate;29;Addr.Loc.City;;12;NULL;YES;nvarchar;100;200;NULL;NULL;NULL;NULL;False;False;14-03-20;01-04-20
